ID,English,Persian (fas),Mandarin (cmn),Hindi (hin),Spanish (spa),French (fra),Arabic (ara),Bengali (ben),Portuguese (por),Russian (rus),Urdu (urd),Indonesian (ind),German (deu),Japanese (jpn),Swahili (swa),Marathi (mar),Telugu (tel),Turkish (tur),Korean (kor),Italian (ita)
2615,echolocation,مکان‌یابی پژواکی,回声定位 (huíshēng dìngwèi),इकोलोकेशन (ikōlōkēśan),ecolocalización,écholocalisation,تحديد الموقع بالصدى (taḥdīd al-mawqiʿ bi-ṣ-ṣadā),ইকোলোকেশন (ikōlōkēśôn),ecolocalização,эхолокация, प्रतिध्वनि से स्थान निर्धारण (pratidhvani se sthān nirdhāraṇ),ekolokasi,Echolotung,反響定位 (hankyō teii),mwangwi,प्रतिध्वनीने शोध (pratidhvanīnē śōdha),ఎకోలొకేషన్ (ekōlokēṣan),ekolokasyon,반향 위치 측정 (banhyang wichi cheugjeong),ecolocalizzazione
2616,eclectic,گلچین‌شده; التقاطی,兼收并蓄的 (jiānshōu bìng xù de), éclectique,انتقائي (intiqāʾī), эклектичный,eklektik,eklektisch,折衷的な (setchūteki na),-enye mchanganyiko, eklektik, eklektik, eklektik, 절충적인 (jeolchungjeog-in),eclettico
2617,eclectically,بطور التقاطی,兼收并蓄地 (jiānshōu bìng xù de), ecletticamente,انتقائيا (intiqāʾiyan), эклектично,eklektik bir şekilde,eklektisch,折衷的に (setchūteki ni),kwa mchanganyiko, eklektik, eklektik, eklektik olarak,절충적으로 (jeolchungjeog-eulo),ecletticamente
2618,eco,زیست‌محیطی,生态 (shēngtài),पर्यावरण (paryāvaraṇ),eco,éco,بيئي (bīʾī),পরিবেশ (pôribēś),eco,эко,ماحولیاتی (māḥauliyātī),eko,Öko-,エコ (eko),-a mazingira,पर्यावरण (paryāvaraṇa),పర్యావరణ (paryāvaraṇa),çevre,생태 (saengtae),eco
2619,ecological,بوم‌شناختی,生态的 (shēngtài de),पारिस्थितिक (pāristhitik),ecológico,écologique,بيئي (bīʾī),বাস্তুসংস্থানীয় (bāstusaṅsthānīẏô),ecológico,экологический,ماحولیاتی (māḥauliyātī),ekologis,ökologisch,生態学的な (seitaigakuteki na),-a kiekolojia,पर्यावरणीय (paryāvaraṇīya),పర్యావరణ (paryāvaraṇa),ekolojik,생태학적인 (saengtaeghagjeog-in),ecologico
2620,ecologically,از نظر بوم‌شناختی,生态地 (shēngtài de),पारिस्थितिक रूप से (pāristhitik rūp se),ecológicamente,écologiquement,بيئيا (bīʾiyan),বাস্তুসংস্থানগতভাবে (bāstusaṅsthāngôtôbhābē),ecologicamente,экологически,ماحولیاتی طور پر (māḥauliyātī taur par),secara ekologis,ökologisch,生態学的に (seitaigakuteki ni),kiekolojia,पर्यावरणीयदृष्ट्या (paryāvaraṇīyadr̥ṣṭyā),పర్యావరణపరంగా (paryāvaraṇaparaṅgā),ekolojik olarak,생태학적으로 (saengtaeghagjeog-eulo),ecologicamente
2621,ecologist,بوم‌شناس,生态学家 (shēngtàixuéjiā),पारिस्थितिकीविद् (pāristhitikīvid),ecologista,écologiste,عالم بيئة (ʿālim bīʾa),বাস্তুবিদ (bāstubid),ecologista,эколог,ماہر ماحولیات (māhir-e-māḥauliyāt),ahli ekologi,Ökologe,生態学者 (seitaigakusha),mwanaikolojia,पर्यावरणशास्त्रज्ञ (paryāvaraṇaśāstrajña),పర్యావరణవేత్త (paryāvaraṇavēt'ta),ekolog; çevrebilimci,생태학자 (saengtaeghagja),ecologo
2622,ecology,بوم‌شناسی,生态学 (shēngtàixué),पारिस्थितिकी (pāristhitikī),ecología,écologie,علم البيئة (ʿilm al-bīʾa),বাস্তুবিদ্যা (bāstubidyā),ecologia,экология,ماحولیات (māḥauliyāt),ekologi,Ökologie,生態学 (seitaigaku),ikolojia,पर्यावरणशास्त्र (paryāvaraṇaśāstra),పర్యావరణ శాస్త్రం (paryāvaraṇa śāstraṁ),ekoloji; çevrebilim,생태학 (saengtaeghag),ecologia
2623,economic,اقتصادی,经济的 (jīngjì de),आर्थिक (ārthik),económico,économique,اقتصادي (iqtiṣādī),অর্থনৈতিক (ôrthônōitik),econômico,экономический,معاشی (ma'āśī),ekonomi,wirtschaftlich,経済の (keizai no),-a kiuchumi,आर्थिक (ārthika),ఆర్థిక (ārthika),ekonomik,경제의 (gyeongje-ui),economico
2624,economical,اقتصادی; مقرون به صرفه,经济的 (jīngjì de),किफायती (kiphāyatī),económico,économique,اقتصادي (iqtiṣādī),মিতব্যয়ী (mitôbyāẏī),econômico,экономный,کفایتی (kifāyatī),hemat,wirtschaftlich,経済的な (keizaiteki na),-a gharama nafuu,काटकसरीचा (kāṭakasarīcā),పొదుపైన (podupaina),ekonomik; tutumlu,경제적인 (gyeongjejeog-in),economico
2625,economics,اقتصاد,经济学 (jīngjìxué),अर्थशास्त्र (arthaśāstra),economía,économie,علم الاقتصاد (ʿilm al-iqtiṣād),অর্থনীতি (ôrthônīti),economia,экономика,معاشیات (ma'āśiyāt),ilmu ekonomi,Wirtschaftswissenschaften,経済学 (keizaigaku),uchumi,अर्थशास्त्र (arthaśāstra),అర్థశాస్త్రం (arthaśāstraṁ),ekonomi; iktisat,경제학 (gyeongjehag),economia
2626,economist,اقتصاددان,经济学家 (jīngjìxuéjiā),अर्थशास्त्री (arthaśāstrī),economista,économiste,اقتصادي (iqtiṣādī),অর্থনীতিবিদ (ôrthônītibid),economista,экономист,ماہر معاشیات (māhir-e-ma'āśiyāt),ekonom,Ökonom,経済学者 (keizaigakusha),mchumi,अर्थशास्त्रज्ञ (arthaśāstrajña),ఆర్థికవేత్త (ārthikavēt'ta),ekonomist; iktisatçı,경제학자 (gyeongjehagja),economista
2627,economize/economise,صرفه‌جویی کردن,节约 (jiéyuē),मितव्ययिता करना (mitavyayitā karnā),economizar,économiser,يقتصد (yaqtaṣidu),মিতব্যয় করা (mitôbyāẏ kora),economizar,экономить,کفایت شعاری کرنا (kifāyat śi'ārī karnā),berhemat,sparen,節約する (setsuyaku suru),kuweka akiba,काटकसर करणे (kāṭakasara karaṇē),పొదుపు చేయు (podupu cēyu),tasarruf etmek,절약하다 (jeol-yaghada),economizzare
2628,economy,اقتصاد,经济 (jīngjì),अर्थव्यवस्था (arthavyavasthā),economía,économie,اقتصاد (iqtiṣād),অর্থনীতি (ôrthônīti),economia,экономика,معیشت (ma'īśat),ekonomi,Wirtschaft,経済 (keizai),uchumi,अर्थव्यवस्था (arthavyavasthā),ఆర్థిక వ్యవస్థ (ārthika vyavastha),ekonomi,경제 (gyeongje),economia
2629,ecosystem,اکوسیستم,生态系统 (shēngtài xìtǒng),पारिस्थितिकी तंत्र (pāristhitikī tantra),ecosistema,écosystème,نظام بيئي (niẓām bīʾī),বাস্তুতন্ত্র (bāstutôntrô),ecossistema,экосистема,ماحولیاتی نظام (māḥauliyātī nizām),ekosistem,Ökosystem,生態系 (seitaikei),mfumo wa ikolojia,परिसंस्था (parisansthā),పర్యావరణ వ్యవస్థ (paryāvaraṇa vyavastha),ekosistem,생태계 (saengtaegye),ecosistema
2630,ecotourism,بوم‌گردی,生态旅游 (shēngtài lǚyóu),पर्यावरण पर्यटन (paryāvaraṇ paryaṭan),ecoturismo,écotourisme,سياحة بيئية (siyāḥa bīʾiyya),ইকো-ট্যুরিজম (ikō-ṭyurijôm),ecoturismo,экотуризм,ماحولیاتی سیاحت (māḥauliyātī sayāḥat),ekowisata,Ökotourismus,エコツーリズム (ekotsūrizumu),utalii wa kimazingira,पर्यावरण पर्यटन (paryāvaraṇa paryaṭana),పర్యాటక పర్యాటకం (paryāṭaka paryāṭakaṁ),ekoturizm,생태 관광 (saengtae gwangwang),ecoturismo
2631,ecstasy,خلسه; وجد,狂喜 (kuángxǐ),परमानंद (paramānand),éxtasis,extase,نشوة (našwa),পরমানন্দ (pôrômānôndô),êxtase,экстаз,وجد (wajd),ekstasi,Ekstase,恍惚 (kōkotsu),raha,आनंद (ānanda),పారవశ్యం (pāravaśyaṁ),vecd; coşku,황홀경 (hwangholgyeong),estasi
2632,ecstatic,در حالت خلسه,欣喜若狂的 (xīnxǐ ruòkuáng de),आनंदित (ānandit),extático,extatique,منتَشٍ (muntašin),আনন্দিত (ānônditô),extático,восторженный,وجد میں (wajd mẽ),sangat gembira,ekstatisch,有頂天な (uchōten na),-liopagawa,आनंदित (ānandita),పారవశ్యంలో (pāravaśyanlō),coşkun; mest olmuş,황홀해하는 (hwangholhaehaneun),estatico
2633,ecstatically,با وجد و سرور,欣喜若狂地 (xīnxǐ ruòkuáng de),आनंद से (ānand se),extáticamente,extatiquement,بنشوة (bi-našwa),আনন্দভরে (ānôndôbhôrē),extaticamente,восторженно,وجد کی حالت میں (wajd kī ḥālat mẽ),dengan gembira,ekstatisch,有頂天になって (uchōten ni natte),kwa raha,आनंदाने (ānandānē),పారవశ్యంతో (pāravaśyantō),coşkuyla,황홀하게 (hwangholhage),estaticamente
2634,edge,لبه,边缘 (biānyuán),किनारा (kinārā),borde,bord,حافة (ḥāffa),প্রান্ত (prāntô),borda,край,کنارہ (kināra),tepi,Kante,端 (hashi),ukingo,काठ (kāṭha),అంచు (an̄cu),kenar,가장자리 (gajangjali),bordo
2635,edification,تهذیب نفس,启迪 (qǐdí),ज्ञान (jñān),edificación,édification,تهذيب (tahḏīb),চিত্তশুদ্ধি (chittôśud'dhi),edificação,назидание,اصلاح (iṣlāḥ),pencerahan,Erbauung,啓発 (keihatsu),elimu,सुधार (sudhāra),జ్ఞానోదయం (jñānōdayaṁ),manevi gelişim,교화 (gyohwa),edificazione
2636,edifice,عمارت باشکوه,大厦 (dàshà),भवन (bhavan),edificio,édifice,صرح (ṣarḥ),অট্টালিকা (ôṭṭālikā),edifício,здание,عمارت ('imārat),gedung,Gebäude,大建築 (daikenchiku),jengo,इमारत (imārata),భవనం (bhavanaṁ),görkemli yapı,대건축물 (daegeonchugmul),edificio
2637,edify,تهذیب کردن,教诲 (jiàohuì),ज्ञान देना (jñān dēnā),edificar,édifier,يهذب (yuhaḏḏibu),শিক্ষা দেওয়া (śikkhā deōā),edificar,наставлять,اصلاح کرنا (iṣlāḥ karnā),mencerahkan,erbauen,啓発する (keihatsu suru),kuelimisha,सुधारणे (sudhāraṇē),జ్ఞానోదయం కలిగించు (jñānōdayaṁ kaligin̄cu),bilgilendirmek; aydınlatmak,교화하다 (gyohwahada),edificare
2638,edit,ویرایش کردن,编辑 (biānjí),संपादित करना (sampādit karnā),editar,éditer,يحرر (yuḥarriru),সম্পাদনা করা (śômpādônā kora),editar,редактировать,ترمیم کرنا (tarmīm karnā),mengedit,bearbeiten,編集する (henshū suru),kuhariri,संपादित करणे (sampādita karaṇē),సవరించు (savarin̄cu),düzenlemek; editörlük yapmak,편집하다 (pyeonjibhada),modificare
2639,edition,نسخه; چاپ,版 (bǎn),संस्करण (sansakaraṇ),edición,édition,طبعة (ṭabʿa),সংস্করণ (śôṅskôrôṇ),edição,издание,ایڈیشن (ēḍīśan),edisi,Ausgabe,版 (han),toleo,आवृत्ती (āvr̥t'tī),సంస్కరణ (sansakaraṇa),baskı; edisyon,판 (pan),edizione
2640,editor,ویراستار,编辑 (biānjí),संपादक (sampādak),editor,éditeur,محرر (muḥarrir),সম্পাদক (śômpādôk),editor,редактор,ایڈیٹر (ēḍīṭar),editor,Redakteur,編集者 (henshūsha),mhariri,संपादक (sampādaka),సంపాదకుడు (sampādakuḍu),editör,편집자 (pyeonjibja),redattore
2641,editorial,سرمقاله,社论 (shèlùn),संपादकीय (sampādakīya),editorial,éditorial,افتتاحية (iftitāḥiyya),সম্পাদকীয় (śômpādôkīẏô),editorial,редакционная статья,اداریہ (idāriya),tajuk rencana,Leitartikel,社説 (shasetsu),tahariri,संपादकीय (sampādakīya),సంపాదకీయం (sampādakīyaṁ),başyazı,사설 (saseol),editoriale
2642,educate,آموزش دادن,教育 (jiàoyù),शिक्षित करना (śikṣit karnā),educar,éduquer,يعلم (yuʿallimu),শিক্ষা দেওয়া (śikkhā deōā),educar,обучать,تعلیم دینا (ta'līm denā),mendidik,erziehen,教育する (kyōiku suru),kuelimisha,शिक्षण देणे (śikṣaṇa dēṇē),విద్యాభ్యాసం చేయించు (vidyābhyāsaṁ cēyin̄cu),eğitmek,교육하다 (gyoyughada),educare
2643,educated,تحصیل‌کرده,受过教育的 (shòuguò jiàoyù de),शिक्षित (śikṣit),educado,éduqué,متعلم (mutaʿallim),শিক্ষিত (śikkhitô),educado,образованный,تعلیم یافتہ (ta'līm yāfta),berpendidikan,gebildet,教育を受けた (kyōiku o uketa),-liosoma,सुशिक्षित (suśikṣita),విద్యావంతుడు (vidyāvantuḍu),eğitimli,교육받은 (gyoyugbad-eun),istruito
2644,education,آموزش و پرورش,教育 (jiàoyù),शिक्षा (śikṣā),educación,éducation,تعليم (taʿlīm),শিক্ষা (śikkhā),educação,образование,تعلیم (ta'līm),pendidikan,Bildung,教育 (kyōiku),elimu,शिक्षण (śikṣaṇa),విద్య (vidya),eğitim,교육 (gyoyug),educazione
2645,educational,آموزشی,教育的 (jiàoyù de),शैक्षिक (śaikṣik),educativo,éducatif,تعليمي (taʿlīmī),শিক্ষামূলক (śikkhāmulôk),educacional,образовательный,تعلیمی (ta'līmī),pendidikan,erzieherisch,教育的な (kyōikuteki na),-a kielimu,शैक्षणिक (śaikṣaṇika),విద్యా (vidyā),eğitici; eğitimsel,교육적인 (gyoyugjeog-in),educativo
2646,educator,مربی; آموزگار,教育家 (jiàoyùjiā),शिक्षक (śikṣak),educador,éducateur,مربي (murabbin),শিক্ষাবিদ (śikkhābid),educador,педагог,معلم (mu'allim),pendidik,Pädagoge,教育者 (kyōikusha),mwalimu,शिक्षक (śikṣaka),విద్యావేత్త (vidyāvet'ta),eğitimci,교육자 (gyoyugja),educatore
2647,effect,اثر; تأثیر,效果 (xiàoguǒ),प्रभाव (prabhāv),efecto,effet,تأثير (taʾṯīr),প্রভাব (prôbhāb),efeito,эффект,اثر (asar),efek,Effekt,効果 (kōka),athari,परिणाम (pariṇāma),ప్రభావం (prabhāvaṁ),etki,효과 (hyogwa),effetto
2648,effective,موثر,有效的 (yǒuxiào de),प्रभावी (prabhāvī),eficaz,efficace,فعال (faʿʿāl),কার্যকরী (kārjôkôrī),eficaz,эффективный,مؤثر (mu'as̱s̱ir),efektif,wirksam,効果的な (kōkateki na),-enye ufanisi,प्रभावी (prabhāvī),ప్రభావవంతమైన (prabhāvavantamaina),etkili,효과적인 (hyogwajeog-in),efficace
2649,effectively,بطور موثر,有效地 (yǒuxiào de),प्रभावी ढंग से (prabhāvī ḍhaṅg se),eficazmente,efficacement,بفعالية (bi-faʿʿāliyya),কার্যকরভাবে (kārjôkôrbhābē),efetivamente,эффективно,مؤثر طریقے سے (mu'as̱s̱ir tarīqe se),secara efektif,wirksam,効果的に (kōkateki ni),kwa ufanisi,प्रभावीपणे (prabhāvīpaṇē),ప్రభావవంతంగా (prabhāvavantaṅgā),etkili bir şekilde,효과적으로 (hyogwajeog-eulo),efficacemente
2650,effectiveness,موثر بودن,有效性 (yǒuxiàoxìng),प्रभावशीलता (prabhāvaśīlatā),eficacia,efficacité,فعالية (faʿʿāliyya),কার্যকারিতা (kārjôkāritā),eficácia,эффективность,مؤثریت (mu'as̱s̱iriyat),efektivitas,Wirksamkeit,有効性 (yūkōsei),ufanisi,प्रभावीपणा (prabhāvīpaṇā),ప్రభావశీలత (prabhāvaśīlata),etkinlik,효과성 (hyogwaseong),efficacia
2651,efficiency,بهره‌وری; کارایی,效率 (xiàolǜ),दक्षता (dakṣatā),eficiencia,efficacité,كفاءة (kafāʾa),দক্ষতা (dôkkhôtā),eficiência,эффективность,کارکردگی (kārkardagī),efisiensi,Effizienz,効率 (kōritsu),ufanisi,कार्यक्षमता (kāryakṣamatā),సామర్థ్యం (sāmarthyaṁ),verimlilik,효율성 (hyoyulseong),efficienza
2652,efficient,کارآمد,高效的 (gāoxiào de),कुशल (kuśal),eficiente,efficient,فعال (faʿʿāl),দক্ষ (dôkkhô),eficiente,эффективный,قابل (qābil),efisien,effizient,効率的な (kōritsuteki na),-a ufanisi,कार्यक्षम (kāryakṣama),సామర్థ్యంగల (sāmarthyaṅgala),verimli,효율적인 (hyoyuljeog-in),efficiente
2653,efficiently,بطور کارآمد,高效地 (gāoxiào de),कुशलतापूर्वक (kuśalatāpūrvak),eficientemente,efficacement,بكفاءة (bi-kafāʾa),দক্ষতার সাথে (dôkkhôtār śāthē),eficientemente,эффективно,قابلیت سے (qābiliyat se),secara efisien,effizient,効率的に (kōritsuteki ni),kwa ufanisi,कार्यक्षमतेने (kāryakṣamatēnē),సామర్థ్యంగా (sāmarthyaṅgā),verimli bir şekilde,효율적으로 (hyoyuljeog-eulo),efficientemente
2654,effort,تلاش,努力 (nǔlì),प्रयास (prayās),esfuerzo,effort,جهد (juhd),প্রচেষ্টা (prôchēṣṭā),esforço,усилие,کوشش (kōśiś),upaya,Anstrengung,努力 (doryoku),jitihada,प्रयत्न (prayatna),ప్రయత్నం (prayatnaṁ),çaba; gayret,노력 (nolyeog),sforzo
2655,effortless,بی‌دردسر,毫不费力的 (háobù fèilì de),सरल (saral),sin esfuerzo,sans effort,سهل (sahl),অনায়াস (ônāẏāś),sem esforço,непринуждённый,آسان (āsān),mudah,mühelos,楽な (raku na),-sio na shida,सहज (sahaja),అప్రయత్నంగా (aprayatnaṅgā),zahmetsiz; kolay,힘들이지 않는 (himdeul-iji anhneun),senza sforzo
2656,egalitarian,مساوات‌خواه,平等主义的 (píngděngzhǔyì de),समतावादी (samatāvādī),igualitario,égalitaire,مساواتي (musāwātī),সমতাবাদী (śômôtābādī),igualitário,эгалитарный,مساوات پسند (masāwāt pasand),egaliter,egalitär,平等主義の (byōdōshugi no),-a usawa,समतावादी (samatāvādī),సమతావాద (samatāvāda),eşitlikçi,평등주의의 (pyeongdeungju-uiui),egualitario
2657,egg,تخم مرغ,鸡蛋 (jīdàn),अंडा (aṇḍā),huevo,œuf,بيضة (bayḍa),ডিম (ḍim),ovo,яйцо,انڈا (anḍā),telur,Ei,卵 (tamago),yai,अंडे (aṇḍē),గుడ్డు (guḍḍu),yumurta,달걀 (dalgyal),uovo
2658,ego,نفس; خود,自我 (zìwǒ),अहं (ahaṃ),ego,ego,الأنا (al-ʾanā),অহং (ôhôn),ego,эго,انا (anā),ego,Ego,エゴ (ego),ubinafsi,अहंकार (ahaṅkāra),అహం (ahaṁ),ego; benlik,자아 (ja-a),ego
2659,eight,هشت,八 (bā),आठ (āṭh),ocho,huit,ثمانية (ṯamāniya),আট (āṭ),oito,восемь,آٹھ (āṭh),delapan,acht,八 (hachi),nane,आठ (āṭha),ఎనిమిది (enimidi),sekiz,여덟 (yeodeolb),otto
2660,eighteen,هجده,十八 (shíbā),अठारह (aṭhārah),dieciocho,dix-huit,ثمانية عشر (ṯamāniyata ʿašar),আঠারো (āṭhārō),dezoito,восемнадцать,اٹھارہ (aṭhārah),delapan belas,achtzehn,十八 (jūhachi),kumi na nane,अठरा (aṭharā),పద్దెనిమిది (paddenimidi),on sekiz,열여덟 (yeol-yeodeolb),diciotto
2661,eighty,هشتاد,八十 (bāshí),अस्सी (assī),ochenta,quatre-vingts,ثمانون (ṯamānūn),আশি (āśi),oitenta,восемьдесят,اسی (assī),delapan puluh,achtzig,八十 (hachijū),themanini,ऐंशी (ainśī),ఎనభై (enabhai),seksen,여든 (yeodeun),ottanta
2662,either,یا این یا آن,要么 (yàome),या तो (yā tō),o,soit,إما (ʾimmā),হয় (hôẏ),ou,или,یا تو (yā to),salah satu,entweder,どちらか (dochira ka),ama,एकतर (ēkatara),లేదా (lēdā),ya... ya da,어느 한쪽의 (eoneu hanjjog-ui),o; entrambi
2663,eke out,به سختی گذراندن,勉强维持 (miǎnqiǎng wéichí),कठिनाई से निर्वाह करना (kaṭhinā'ī sē nirvāh karnā),ganarse la vida a duras penas,gagner sa vie péniblement,يكسب قوته بالكاد (yaksibu qūtahu bi-l-kād),কষ্টে চালানো (kôṣṭē chālānō),viver com dificuldade,с трудом сводить концы с концами,بمشکل گزارا کرنا (ba-muśkil guzārā karnā),bertahan hidup,sich mühsam durchschlagen,何とか生計を立てる (nantoka seikei o tateru),kuishi kwa shida,कष्टाने जगणे (kaṣṭānē jagaṇē),కష్టపడి జీవించు (kaṣṭapaḍi jīvin̄cu),kıt kanaat geçinmek,근근이 살아가다 (geungeun-i sal-agada),sbarcare il lunario
2664,elaborate,مفصل; با جزئیات شرح دادن,详尽的 (xiángjìn de); 详细阐述 (xiángxì chǎnshù),विस्तृत (vistr̥t),elaborado; elaborar,élaboré; élaborer,مفصل (mufaṣṣal); يفصل (yufaṣṣilu),বিস্তারিত (bistāritô); বিশদভাবে বর্ণনা করা (biśôdbhābē bôrṇônā kora),elaborado; elaborar,тщательный; разрабатывать,تفصیلی; تفصیل سے بیان کرنا (tafsīlī; tafsīl se bayān karnā),rumit; menguraikan,ausführlich; ausarbeiten,精巧な (seikō na); 詳しく述べる (kuwashiku noberu),-a kufafanua,विस्तृत (vistr̥ta); तपशील देणे (tapaśīla dēṇē),వివరణాత్మక (vivaraṇātmaka); వివరించు (vivarin̄cu),ayrıntılı; detaylandırmak,정교한; 자세히 설명하다 (jeong-gyohan; jasehi seolmyeonghada),elaborato; elaborare
2665,elaboration,شرح با جزئیات,阐述 (chǎnshù),विस्तार (vistār),elaboración,élaboration,تفصيل (tafṣīl),বিশদ বিবরণ (biśôd bibôrôṇ),elaboração,разработка,تفصیل (tafsīl),elaborasi,Ausarbeitung,詳述 (shōjutsu),ufafanuzi,विस्तार (vistāra),వివరణ (vivaraṇa),detaylandırma,상세한 설명 (sangsehan seolmyeong),elaborazione
2666,elastic,کشسان,有弹性的 (yǒu tánxìng de),लोचदार (lōcadār),elástico,élastique,مرن (marin),স্থিতিস্থাপক (sthitithāpôk),elástico,эластичный,لچکدار (lacakdār),elastis,elastisch,弾力性のある (danryokusei no aru),nyumbufu,लवचिक (lavacika),సాగే గుణము గల (sāgē guṇamu gala),elastik,탄력 있는 (tanlyeog issneun),elastico
2667,elasticity,کشسانی,弹性 (tánxìng),लोच (lōc),elasticidad,élasticité,مرونة (murūna),স্থিতিস্থাপকতা (sthitithāpôkôtā),elasticidade,эластичность,لچک (lacak),elastisitas,Elastizität,弾力性 (danryokusei),unyumbufu,लवचिकता (lavacikatā),స్థితిస్థాపకత (sthitisthāpakata),esneklik,탄력성 (tanlyeogseong),elasticità
2668,elated,بسیار خوشحال,兴高采烈的 (xìnggāo cǎiliè de),प्रफुल्लित (praphullit),eufórico,transporté de joie,مبتهج (mubtahij),উল্লসিত (ullôsitô),eufórico,в приподнятом настроении,بہت خوش (bahut khuś),gembira,hocherfreut,大喜びの (ōyorokobi no),-enye furaha nyingi,आनंदित (ānandita),ఉప్పొంగిపోయిన (uppoṅgipōyina),çok sevinçli; coşkulu,아주 기뻐하는 (aju gippeohaneun),euforico
2669,elation,سرور; شادی بسیار,兴高采烈 (xìnggāo cǎiliè),उल्लास (ullās),euforia,allégresse,ابتهاج (ibtihāj),উল্লাস (ullāś),euforia,восторг,شادمانی (śādmānī),kegembiraan,Hochgefühl,大喜び (ōyorokobi),furaha kuu,उत्साह (utsāha),ఉల్లాసం (ullāsaṁ),büyük sevinç; coşku,의기양양함 (uigiyang-yangham),euforia
2670,elbow,آرنج,肘 (zhǒu),कोहनी (kōhanī),codo,coude,مرفق (mirfaq),কনুই (kônu'i),cotovelo,локоть,کہنی (kohnī),siku,Ellbogen,肘 (hiji),kiwiko,कोपर (kōpara),మోచేయి (mōcēyi),dirsek,팔꿈치 (palkkumchi),gomito
2671,elderly,سالمند,年长的 (niánzhǎng de),बुज़ुर्ग (buzurg),anciano,âgé,مسن (musinn),বয়স্ক (bôẏôskô),idoso,пожилой,بزرگ (buzurg),lansia,betagt,年配の (nenpai no),mzee,वृद्ध (vr̥d'dha),వృద్ధ (vr̥d'dha),yaşlı,나이든 (naideun),anziano
2672,elect,انتخاب کردن,选举 (xuǎnjǔ),चुनना (cunanā),elegir,élire,ينتخب (yantakhibu),নির্বাচন করা (nirbāchôn kora),eleger,избирать,منتخب کرنا (muntakhab karnā),memilih,wählen,選ぶ (erabu),kuchagua,निवडणे (nivaḍaṇē),ఎన్నుకొను (en'nukonu),seçmek,선출하다 (seonchulhada),eleggere
2673,election,انتخابات,选举 (xuǎnjǔ),चुनाव (cunāv),elección,élection,انتخاب (intikhāb),নির্বাচন (nirbāchôn),eleição,выборы,انتخاب (intikhāb),pemilihan,Wahl,選挙 (senkyo),uchaguzi,निवडणूक (nivaḍaṇūka),ఎన్నిక (en'nika),seçim,선거 (seongeo),elezione
2674,elective,انتخابی,选修的 (xuǎnxiū de),वैकल्पिक (vaikalpik),electivo,électif,اختياري (ikhtiyārī),ঐচ্ছিক (ōicchik),eletivo,выборный,اختیاری (ikhtiyāri),pilihan,Wahl-,選択の (sentaku no),-a kuchagua,ऐच्छिक (aicchika),ఐచ్ఛిక (aicchika),seçmeli,선택의 (seontaeg-ui),elettivo
2675,electoral,انتخاباتی,选举的 (xuǎnjǔ de),चुनावी (cunāvī),electoral,électoral,انتخابي (intikhābī),নির্বাচনী (nirbāchônī),eleitoral,избирательный,انتخابی (intikhābī),pemilu,Wahl-,選挙の (senkyo no),-a uchaguzi,निवडणुकीचा (nivaḍaṇukīcā),ఎన్నికల (en'nikala),seçimle ilgili,선거의 (seongeo-ui),elettorale
2676,electric,برقی,电的 (diàn de),बिजली का (bijalī kā),eléctrico,électrique,كهربائي (kahrabāʾī),বৈদ্যুতিক (bōidyutik),elétrico,электрический,بجلی کا (bijlī kā),listrik,elektrisch,電気の (denki no),-a umeme,विद्युत (vidyuta),విద్యుత్ (vidyut),elektrik,전기의 (jeongi-ui),elettrico
2677,electrical,الکتریکی,电的 (diàn de),विद्युत (vidyut),eléctrico,électrique,كهربائي (kahrabāʾī),বৈদ্যুতিক (bōidyutik),elétrico,электрический,برقی (barqī),listrik,elektrisch,電気の (denki no),-a umeme,विद्युत (vidyuta),విద్యుత్ (vidyut),elektriksel,전기의 (jeongi-ui),elettrico
2678,electrician,برقکار,电工 (diàngōng),बिजली मिस्त्री (bijalī mistrī),electricista,électricien,كهربائي (kahrabāʾī),ইলেকট্রিশিয়ান (ilēkṭriśiẏān),eletricista,электрик,بجلی کا مستری (bijlī kā mistrī),tukang listrik,Elektriker,電気技師 (denki gishi),fundi umeme,वीजतंत्री (vījatantrī),ఎలక్ట్రీషియన్ (elakṭrīṣiyan),elektrikçi,전기 기사 (jeongi gisa),elettricista
2679,electricity,الکتریسیته,电 (diàn),बिजली (bijalī),electricidad,électricité,كهرباء (kahrabāʾ),বিদ্যুৎ (bidyut),eletricidade,электричество,بجلی (bijlī),listrik,Elektrizität,電気 (denki),umeme,वीज (vīja),విద్యుత్తు (vidyut'tu),elektrik,전기 (jeongi),elettricità
2680,electrode,الکترود,电极 (diànjí),इलेक्ट्रोड (ilēkṭrōḍ),electrodo,électrode,قطب كهربائي (quṭb kahrabāʾī),ইলেকট্রোড (ilēkṭrōḍ),eletrodo,электрод,الیکٹروڈ (ilēkṭrōḍ),elektroda,Elektrode,電極 (denkyoku),elektrodi,इलेक्ट्रोड (ilēkṭrōḍa),ఎలక్ట్రోడ్ (elakṭrōḍ),elektrot,전극 (jeongeug),elettrodo
2681,electron,الکترون,电子 (diànzǐ),इलेक्ट्रॉन (ilēkṭrŏn),electrón,électron,إلكترون (ʾiliktrūn),ইলেকট্রন (ilēkṭrôn),elétron,электрон,الیکٹران (ilēkṭrān),elektron,Elektron,電子 (denshi),elektroni,इलेक्ट्रॉन (ilēkṭrŏna),ఎలక్ట్రాన్ (elakṭrān),elektron,전자 (jeonja),elettrone
